principio_ativo;nome_comercial;APRESENTAÇÃO
"21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL";BAYCUTEN N;10 MG/G + 0.443 MG/G CREM DERM CT BG AL X 40 G
ABATACEPTE;ORENCIA;250 MG PO LIOF SOL INJ CT 1 FA + SER DESCARTÁVEL
ABATACEPTE;ORENCIA;125 MG/ML SOL INJ SC CT SER PREENCHIDA
ABATACEPTE;ORENCIA;125 MG/ML SOL INJ SC CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO
ABCIXIMABE;REOPRO;2 MG/ML SOL INJ CT FA VD INC X 5 ML
ABCIXIMABE;REOPRO;2 MG/ML SOL INJ CT FA VD INC X 5 ML
ABEMACICLIBE;VERZENIOS;50 MG COM REV CT BL AL AL X 30
ABEMACICLIBE;VERZENIOS;50 MG COM REV CT BL AL AL X 60
ABEMACICLIBE;VERZENIOS;100 MG COM REV CT BL AL AL X 30
ABEMACICLIBE;VERZENIOS;100 MG COM REV CT BL AL AL X 60
ABEMACICLIBE;VERZENIOS;150 MG COM REV CT BL AL AL X 30
ABEMACICLIBE;VERZENIOS;150 MG COM REV CT BL AL AL X 60
ABEMACICLIBE;VERZENIOS;200 MG COM REV CT BL AL AL X 30
ABEMACICLIBE;VERZENIOS;200 MG COM REV CT BL AL AL X 60
ABROCITINIBE;CIBINQO;50 MG COM REV CT FR PLAS PEAD OPC X 30
ABROCITINIBE;CIBINQO;100 MG COM REV CT FR PLAS PEAD OPC X 30
ABROCITINIBE;CIBINQO;200 MG COM REV CT FR PLAS PEAD OPC X 30
ACALABRUTINIBE;CALQUENCE;100 MG CAP DURA CT BL AL AL X 60
ACARBOSE;AGLUCOSE;50 MG COM CT BL AL AL X 30
ACARBOSE;AGLUCOSE;100 MG COM CT BL AL AL X 30
ACARBOSE;GLUCOBAY;50 MG COM CT BL AL/AL X 30
ACARBOSE;GLUCOBAY;100 MG COM CT BL AL/AL X 30
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;FILINAR G;5 MG/ML GEL OR CT FR PLAS TRANS X 120ML + COL
ACEBROFILINA;FILINAR;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;FILINAR;10 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PET AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;5MG/ML XPE CT FR PET AMB X 120ML + COP
ACEBROFILINA;DILABRONCO;10MG/ML XPE CT FR PLAS OPC X 120ML + COP
ACEBROFILINA;LISOMUC;5 MG / ML XPE  CT FR VD AMB X 100 ML + COP
ACEBROFILINA;LISOMUC;5 MG / ML XPE CT FR PET AMB X 120 ML + COP
ACEBROFILINA;LISOMUC;10 MG / ML XPE CT FR VD AMB X 100 ML + COP 
ACEBROFILINA;LISOMUC;10 MG / ML XPE CT FR PET AMB X 120 ML + COP
ACEBROFILINA;RESPIRAN;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;MELYSSE;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML
ACEBROFILINA;MELYSSE;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML
ACEBROFILINA;MELYSSE;10 MG/ML XPE CT FR PLAS AMB X 60 ML + COP  X 10 ML
ACEBROFILINA;MELYSSE;5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP X 10 ML
ACEBROFILINA;BRONDILAT;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML
ACEBROFILINA;BRONDILAT;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP  X 10 ML
ACEBROFILINA;BRONDILAT;10 MG/ML XPE CT FR PLAS AMB X 60 ML + COP  X 10 ML
ACEBROFILINA;BRONDILAT;5 MG/ML XPE CT FR PLAS AMB X 60 ML + COP X 10 ML
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;5 MG/ ML XPE CX 50 FR PLAS OPC X 120 ML + 50 COP
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED 
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP)
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP)
ACEBROFILINA;BRONTEK;10 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;BRONTEK;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;10MG/ML XPE CT FR VD AMB X 120ML + COP
ACEBROFILINA;ACEBROFILINA;5MG/ML XPE CT FR VD AMB X 120ML + COP
ACEBROFILINA;BRONDYNEO;10 MG/ ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;BRONDYNEO;5 MG / ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;BRONCOLEX;5 MG/ML XPE INF CT FR VD AMB X 120 ML + COP
ACEBROFILINA;BRONCOLEX;10 MG/ML XPE AD CT FR VD AMB X 120 ML + COP
ACEBROFILINA;BRONCOLEX;5 MG/ML XPE INF CT FR PLAS AMB X 120 ML + COP
ACEBROFILINA;BRONCOLEX;10 MG/ML XPE AD CT FR PLAS AMB X 120 ML + COP
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED   
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED  
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED   
ACEBROFILINA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED  
ACEBROFILINA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR  
ACEBROFILINA;DISMUCAL;5 MG/ML GEL OR CT FR PLAS INC X 60ML + COL MED
ACEBROFILINA;DISMUCAL;5 MG/ML GEL OR CT FR PLAS INC X 120ML + COL MED
ACEBROFILINA;DISMUCAL;5 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;DISMUCAL;10 MG/ML XPE CT FR VD AMB X 120 ML + COP
ACEBROFILINA;RESPIRAN;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACEBROFILINA;RESPIRAN;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED
ACECLOFENACO;PROFLAM;15 MG/G CREM CT TB AL X 30 G
ACECLOFENACO;PROFLAM;100 MG COM REV CT BL AL/AL X 12
ACECLOFENACO;PROFLAM;100 MG COM REV CT BL AL / AL X 6
ACECLOFENACO;ACECLOFENACO;100 MG COM REV CT BL AL/AL X 12
ACECLOFENACO;ACECLOFENACO;15 MG/G CREM DERM CT BG AL X 30 G
ACECLOFENACO;FEBUPEN;100 MG COM REV CT BL AL AL X 12
ACECLOFENACO;ACECLOFENACO;100 MG  COM  REV CT BL AL AL X 12
